*******************************************************************************************	
SetName: CMS_2JET_7TEV_R06	
Author: FL	
Date: 2024	
CodesUsed: madgraph	
SMEFTmodel: gluon_dim8_UFO-massless	
process: p p > j j NP^2==4	
Operator: Og	
Coefficient Cg: 1	
Lambda: 1000 Gev	
PDFset: NNPDF40_nnlo_as_0118	
********************************************************************************************	
1.00200	0.00000
1.00416	0.00000
1.00807	0.00000
1.01572	0.00000
1.03306	0.00000
1.06436	0.00000
1.11456	0.00000
1.18653	0.00000
1.28440	0.00000
1.28183	0.00000
1.28760	0.00000
1.29028	0.00000
1.27785	0.00000
1.00532	0.00000
1.00856	0.00000
1.01539	0.00000
1.03060	0.00000
1.06087	0.00000
1.10901	0.00000
1.17768	0.00000
1.27093	0.00000
1.26165	0.00000
1.26787	0.00000
1.27861	0.00000
1.28803	0.00000
1.01354	0.00000
1.02230	0.00000
1.04423	0.00000
1.08364	0.00000
1.14373	0.00000
1.22433	0.00000
1.33034	0.00000
1.21085	0.00000
1.33817	0.00000
1.26678	0.00000
1.30146	0.00000
1.03409	0.00000
1.06395	0.00000
1.12016	0.00000
1.20383	0.00000
1.31103	0.00000
1.31300	0.00000
1.32564	0.00000
1.33998	0.00000
1.34445	0.00000
1.35303	0.00000
1.33852	0.00000
1.29146	0.00000
1.33933	0.00000
1.31612	0.00000
1.26562	0.00000
1.26775	0.00000
1.28806	0.00000
1.23047	0.00000
